"","Id","groupId","matchId","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","killPoints","kills","killStreaks","longestKill","matchDuration","matchType","maxPlace","numGroups","rankPoints","revives","rideDistance","roadKills","swimDistance","teamKills","vehicleDestroys","walkDistance","weaponsAcquired","winPoints","winPlacePerc"
"3736458","32f480f1dd89dc","f1a3fbb2d6e64d","cab4b31b3f33e5",0,0,0,0,0,0,77,0,0,0,0,1898,"duo-fpp",48,48,1585,0,0,0,0,0,0,329.6,2,0,0.1915
"3549369","26e14eadda2ffc","73c2eb8b83cf6b","4d6c664fb03959",0,0,82.51,0,0,0,27,0,1,1,11.4,1404,"duo",45,43,1457,1,0,0,0,0,0,1286,2,0,0.6818
"3817918","8c10d1f1fdfd5c","910ce9406dbf99","f4e438ee8babf7",0,0,86.9,0,0,0,77,0,0,0,0,1898,"duo",46,42,1496,0,0,0,0,0,0,26.77,1,0,0.1333
"479634","678a8669492e8e","d13b29d4f9f77c","ba38953c3c2fc3",1,7,414,2,0,2,3,0,4,2,158.8,1373,"duo-fpp",49,47,1509,0,0,0,0,0,0,2858,9,0,1
"314453","ae83d6a8271dcc","c1b2ef3a29f267","698f73eb457ef8",0,1,260,1,1,3,23,0,2,1,16.54,1804,"duo-fpp",45,44,1500,0,0,0,0,0,0,1138,4,0,0.5
"3142401","386fc97b9d3cbf","9fce8cc74de869","f768bd83fe7f31",0,0,0,0,0,0,72,1035,0,0,0,1836,"squad",26,25,-1,0,0,0,0,0,0,228.2,2,1508,0.12
"1521467","60499a77493ed1","947d87b3629d60","6f57ab86632e6f",1,2,68.79,0,0,2,46,0,0,0,0,1417,"duo-fpp",49,48,1494,0,0,0,0,0,0,2536,4,0,1
"3807884","92cec706135ad7","fd79114b3fe713","ff7fe5c76f1e44",1,0,211.3,1,0,0,42,0,1,1,5.956,1294,"duo-fpp",46,44,1500,0,0,0,0,0,0,132.5,1,0,0.2
"1281195","4a4e54ea6e4197","1b895d9b4440f8","d37c7545340f90",0,0,100,1,0,0,27,1000,1,1,50.65,1478,"duo-fpp",49,48,-1,0,0,0,0,0,0,1587,4,1500,0.6458
"3164435","1a4030fddb626a","40bb76aad89706","a7148745f7ab7a",0,2,47.84,1,0,0,27,0,1,1,256.4,1365,"squad-fpp",28,28,1471,0,0,0,16.61,0,0,2399,5,0,0.8148
"2733966","60bfdd4f59034b","d8ca57c633cd30","95021e19b8e850",0,0,126.9,1,0,1,57,1037,0,0,0,1351,"squad-fpp",27,27,-1,0,0,0,0,0,0,2563,4,1473,0.7308
"2778554","930980b9f9dd01","46cf3d5f0e6a9e","acb792de0a0dbe",0,7,161.2,0,0,3,12,1420,2,1,48.24,1317,"squad-fpp",27,25,-1,1,0,0,0,0,0,3897,5,1514,0.9231
"3839227","94c11f75dffd93","8aa668cd18dd33","a511b8b7c6b7a3",1,0,525.2,3,0,0,15,1589,2,1,175.2,1338,"squad-fpp",30,30,-1,1,0,0,0,0,0,2292,3,1495,0.7241
"2712438","9d0ccb6fb660bf","b498614eae7b5c","adb218871faf4c",0,0,0,0,0,0,61,0,0,0,0,1391,"squad-fpp",28,28,1403,0,0,0,0,0,0,490.1,2,0,0.5556
"2231970","6f78ad8a8a47bf","5e690c102f4c83","6a146669c2d465",0,0,82,0,1,0,29,0,1,1,26.81,1961,"solo",98,96,1740,0,0,0,0,0,0,2166,4,0,0.6495
"1017405","785a37c6d4b45e","5f226d60fb2502","2bf2cdec779446",0,5,228.7,2,0,6,17,1098,2,1,22.65,1875,"duo",46,43,-1,1,1699,0,0,0,1,3600,13,1466,0.8222
"1074440","11beae3bbec62a","d252d892ad6d88","96774430ee8769",0,3,192.6,0,1,1,25,1125,1,1,0.4208,1357,"solo-fpp",94,91,-1,0,0,0,0,0,0,1113,9,1396,0.871
"1964929","3cb60a115d713c","13fe28dd83a875","18913ac8b9273e",0,0,272.9,1,0,0,17,0,2,1,6.876,1387,"duo",49,47,1668,0,0,0,0,0,0,658.8,4,0,0.5208
"1004541","83ce82aa61ae88","384767f1d7b56e","01a5d51e1018e0",0,3,191.7,1,0,8,8,0,2,1,118.3,1283,"duo-fpp",48,47,1499,0,0,0,0,0,0,2486,3,0,0.9149
"281868","1d0f731ea00984","423731883ddfa0","08b773b08b2683",0,5,195.4,2,0,0,26,0,1,1,130.2,1450,"squad",26,26,1552,0,0,0,0,0,0,3014,5,0,1
"104670","9964f86716a12c","979e8a63119f4f","b4123dfd9e673e",0,0,251.8,2,0,0,40,0,1,1,2.857,1441,"squad-fpp",26,25,1395,0,0,0,0,0,0,167.9,1,0,0.16
"4115614","6c4a2d033bfab5","1b7ab6040c84df","5e1367af728880",1,4,106.4,0,0,4,41,0,0,0,0,1404,"duo-fpp",49,48,1500,0,0,0,0,0,0,2836,2,0,0.8958
"3508755","a88baad7b07d97","0b11632d3803f5","06539cd27385ab",0,0,0,0,0,0,90,1000,0,0,0,1310,"duo-fpp",48,47,-1,0,0,0,0,0,0,42.02,1,1500,0.0425
"3233381","f746b931a0ef88","85ba205c8b4279","ffca3124b378ad",4,4,287.4,1,0,5,20,0,1,1,87.26,1390,"squad",25,25,1462,1,0,0,0,0,0,3304,6,0,0.9583
"934850","c3bbbf5864be8e","9ae6326edf8fe6","7f39d6ff69966f",0,1,100,1,1,0,29,0,1,1,7.017,1463,"squad",27,25,1461,0,0,0,0,0,0,335.8,4,0,0.6154
"1553852","25124659e527fc","2c33fdf9b27c24","144c66d20f706d",0,1,19.35,0,0,1,45,1003,0,0,0,1902,"duo-fpp",47,46,-1,0,0,0,0,0,0,867.4,4,1464,0.6087
"3877099","894030b5e31aa6","e6f065cd216039","9ccd29d4ea56d3",2,3,156.8,0,0,8,48,0,0,0,0,1812,"duo-fpp",48,47,1883,0,7222,0,0,0,0,2239,8,0,0.6809
"853811","3af453c8ea2840","8aa742030ca84e","1ca78dbab641c3",0,0,0,0,0,0,61,1369,0,0,0,1324,"squad-fpp",28,28,-1,0,0,0,0,0,0,387.9,4,1488,0.5556
"261142","bd08586760d70a","60eda3dbf9c71e","bf9eccd737ebbb",0,0,48.54,0,0,1,52,0,0,0,0,1335,"duo-fpp",47,46,1503,0,0,0,0,0,0,1237,6,0,0.7174
"4321492","efe5d22a548200","8e1370ce4048ef","56c871fc94991b",1,0,27.42,0,0,0,57,1382,0,0,0,1819,"solo-fpp",92,91,-1,0,0,0,0,0,0,917.7,4,1609,0.4835
"1184983","fb9ac033871866","65576855e0e61d","ff32ea08ebc819",0,0,0,0,0,0,67,0,0,0,0,1354,"squad-fpp",30,30,1448,0,0,0,0,0,0,248.2,5,0,0.5172
"1712091","5d7c76eff358f1","13391163bddf1e","93c7550f291bb0",0,0,18.38,1,0,0,34,1343,1,1,13.03,1905,"squad-fpp",31,30,-1,1,0,0,0,1,0,670.7,4,1627,0.1667
"1377261","6a1e2d1b803bcb","eb3d505e2121f2","fafb022127981f",1,5,318.6,1,0,11,25,1178,1,1,52.33,1366,"squad-fpp",28,26,-1,1,0,0,0,0,0,2538,3,1526,0.8519
"1180038","ddff637bb064e3","ddc779f84172e8","55ae6c50ae85ce",0,0,40.8,0,0,0,49,0,0,0,0,1445,"solo",92,87,1677,0,0,0,0,0,0,1479,2,0,0.6484
"102171","8d52ba9b5368b3","8a2247c0296947","ab4d1996b904a5",0,0,0,0,0,0,69,0,0,0,0,1384,"duo-fpp",47,43,1491,0,0,0,0,0,0,91.46,4,0,0.2174
"2626242","997dad896e87fb","0d0a1cdf1baf79","92cc1432cfcc92",1,5,91.26,0,0,6,43,0,0,0,0,1396,"duo-fpp",47,47,1503,0,2289,0,0,0,2,1733,7,0,0.9565
"1623314","937b48393474af","a3ef0e291470ed","6fbad77aefbcdf",1,2,35.01,1,0,1,24,0,1,1,90.4,1805,"squad-fpp",30,27,1491,0,1419,0,0,0,0,3665,4,0,0.9655
"3348797","61054696d18756","89e6b899cde50e","9b733546a2df50",0,0,72.81,0,0,1,70,0,0,0,0,1416,"duo",49,48,1457,0,0,0,0,0,0,326.4,4,0,0.2917
"788567","f5784f4e335eb4","75e555538c60ad","8edbdedf84fd6b",0,1,168.3,1,0,1,31,1493,1,1,31.42,1389,"duo-fpp",50,49,-1,0,0,0,0,0,0,1083,4,1525,0.6531
"1806064","66afa264235362","eb68daf9801bdc","66f9fc622c2b92",0,0,25.8,0,0,0,51,0,0,0,0,1272,"squad-fpp",29,28,1441,0,0,0,0,0,0,1687,6,0,0.6786
"3434513","a86e5176291ed0","3e53d85f4c60a6","56ee5162ba6098",0,4,300,0,1,8,9,1511,3,1,18.02,2107,"solo-fpp",99,98,-1,0,2391,0,0,0,0,1257,7,1594,0.7551
"3978251","9b0736165508c0","7eb88307b57cb5","6b286a217c87d6",0,0,120.8,1,0,0,62,1547,0,0,0,1182,"squad-fpp",28,27,-1,0,0,0,0,0,1,1509,5,1513,0.4815
"241701","e6224e8a6529cc","2faf5be2fb72fa","ed8c3e3a92a868",0,0,100,1,0,0,73,0,0,0,0,1888,"duo-fpp",49,46,1500,0,0,0,0,0,0,283.8,3,0,0.25
"589347","086631c81de572","667b07417067bb","1a9d193709dfa9",0,0,0,0,0,0,69,0,0,0,0,1879,"squad-fpp",30,29,1447,0,0,0,0,1,0,211.2,3,0,0.2759
"3717484","feb4713f023ff7","cdc13e2fa822f8","b518aff482ec0a",0,3,105.9,2,0,1,15,1402,2,1,5.792,1838,"squad-fpp",27,27,-1,0,4388,0,0,0,0,1159,3,1523,0.5385
"3768121","53e590364f5701","b56b3949622f83","53b047aa7ec554",0,0,0,0,0,0,74,1242,0,0,0,1388,"squad-fpp",30,30,-1,0,0,0,0,0,0,16.34,0,1545,0.3448
"275922","2bd4df92233ece","8374065e5409c1","856266408f82e6",0,0,0,0,0,0,76,0,0,0,0,1343,"squad-fpp",26,25,1569,0,0,0,0,0,0,101.8,2,0,0.12
"2888360","ccb6010a5d19fc","10d39c2c9b904c","a0720f552baccb",0,5,178.7,0,0,9,36,0,0,0,0,1840,"squad-fpp",26,25,1388,1,2194,0,0,0,0,2562,4,0,0.96
"3594735","d0d18681107d90","1d8b772b531ea0","302eaaa8a6150e",0,0,0,0,0,0,59,0,0,0,0,1773,"squad-fpp",29,25,1500,0,432.1,0,0,0,0,602.7,3,0,0.5357
"1309100","cb48b86fd66d13","d093216d5ae0b7","cb7eb3e17282f0",1,2,81.57,0,0,0,71,0,0,0,0,1369,"duo",48,45,1500,0,0,0,0,0,0,219.6,4,0,0.2979
"3272069","bd9dd212ba849a","2f0f77654dd689","bed8b256e00402",0,0,0,0,0,0,77,0,0,0,0,1439,"squad",27,26,1500,1,0,0,0,0,0,212.3,4,0,0.1538
"3906973","0097311467091e","ee5ae0737952f4","e13b75c57e94d5",0,1,149.2,1,0,2,32,1000,1,1,1.07,1232,"squad-fpp",30,29,-1,0,0,0,0,0,0,252.7,3,1500,0.4828
"1105155","a35dd7f0b1d8a4","33b1ac9adffb8b","7c01f3508607f5",0,0,0,0,0,0,50,1037,0,0,0,1900,"solo",97,95,-1,0,569,0,0,0,0,3118,8,1520,0.5938
"4177699","2fd4c2b6a94087","05804688447a7b","12db6ee93d640f",0,0,64,0,0,0,63,0,0,0,0,1368,"duo-fpp",49,47,1475,0,0,0,0,0,0,465,4,0,0.3958
"856579","b30f6b7af3a4c3","30c655c0fe1101","35405187d4f4c3",0,0,0,0,0,0,94,1064,0,0,0,1898,"squad-fpp",28,28,-1,0,0,0,0,0,0,0,0,1455,0
"2959828","e19edc2117bafa","5fc78d9a2fbaae","fa9e82bfefa9cf",0,0,0,0,0,0,92,1395,0,0,0,1389,"squad-fpp",32,31,-1,0,0,0,0,0,0,0,0,1429,0
"3096663","a92a32fa35d325","63d4eb0e187fd5","1e72133d6b9e65",1,0,18.18,1,0,0,67,0,0,0,0,1923,"duo-fpp",46,42,1482,0,0,0,0,0,0,14.98,1,0,0.2889
"1330678","46e95ae951415a","33ab99ba40e7e9","ad5aa91567eafe",0,3,272.6,1,1,1,17,0,2,2,162.3,1411,"duo-fpp",46,45,1500,0,452.7,0,146.1,0,0,2117,6,0,0.8
"3674688","2681314e445e62","59958928ac2e02","90f096a2402836",0,0,0,0,0,0,69,0,0,0,0,1365,"squad-fpp",27,25,1501,0,0,0,0,0,0,89.34,3,0,0.1923
"2191618","ff009aa7e02a83","206421422f3f36","48841e4bc1cdb5",0,1,164.8,0,0,1,20,0,1,1,101.3,1503,"solo-fpp",92,89,1510,0,0,0,0,0,0,1182,11,0,0.967
"1323223","eddedc61ad5c92","929da51d403a77","13f50a49c635e2",0,0,0,0,0,0,79,0,0,0,0,1322,"solo-fpp",92,90,1559,0,0,0,0,0,0,0,0,0,0.1538
"3953320","654c51020b04ab","9807737230aa89","85295fdba1e83c",2,4,523.2,2,1,2,4,0,3,2,88.64,1968,"duo",46,44,1577,0,4611,0,0,0,0,2800,6,0,1
"3602096","add52773cc537c","177faf86044287","b0a1d173933c68",0,1,57,0,0,0,26,1444,1,1,71.99,1376,"squad",29,28,-1,0,0.0067,0,77.72,0,0,3812,6,1561,0.7857
"1157891","9ac5f6f7b53534","1971df7d2a0f34","38c6fbdd07684a",0,0,0,0,0,0,78,1000,0,0,0,1896,"squad-fpp",25,24,-1,0,0,0,0,0,0,46,3,1500,0.0833
"400087","4727017de2263b","f1f07977dd48d5","b9a0ea536a1ea3",0,7,374.4,2,2,3,7,1213,3,1,79.25,1370,"duo-fpp",49,47,-1,1,0,0,0,0,0,2052,4,1508,0.9375
"1809787","1b35a71af2bb15","67baf23425efe9","982e32fe98798c",0,3,0,0,0,3,61,1068,0,0,0,1447,"squad",29,28,-1,0,0,0,0,0,0,1565,5,1517,0.4643
"3469129","9afab413b39865","397e4ab3a15e9a","189add88e3134b",0,0,0,0,0,0,53,0,0,0,0,1433,"solo-fpp",95,95,1508,0,0,0,0,0,0,1204,6,0,0.7234
"455751","a6440957a3c8d6","509b67007f29ea","dbdac30a0ae3c1",0,0,79.61,1,0,1,56,0,0,0,0,1831,"duo-fpp",48,47,1497,1,0,0,0,0,0,281.1,2,0,0.5532
"1355002","6c5cbb987bfea3","d14c1214a100b5","fea33100696884",2,7,342,3,0,3,6,1657,3,2,42.77,1388,"squad-fpp",30,30,-1,0,286.9,0,193.5,0,0,3256,4,1644,0.9655
"3377600","a58374723662e3","63cce9fd97919a","7393b00ea1eeca",0,0,388.2,2,1,0,23,1396,2,1,16.42,1385,"squad",28,27,-1,1,722.5,0,0,0,0,368.2,4,1522,0.3333
"258242","ec1c7b8c0714d7","1e2ccf0ca99ac5","2c4028037f3155",0,0,48.01,0,0,0,96,1020,0,0,0,1376,"squad-fpp",30,28,-1,0,0,0,0,0,0,16.76,1,1499,0
"4102216","474b3b1120deea","03de4abedcd5ed","601a78712dd252",0,1,0,3,0,1,56,0,0,0,0,1889,"duo-fpp",48,45,1513,2,0,0,0,1,0,713.2,6,0,0.5319
"3609846","95e9d587c77002","0b3a612e445453","b7d00b8b7c4cd8",0,0,4.29,0,0,0,50,1093,0,0,0,1751,"duo-fpp",47,45,-1,0,6255,0,0,0,0,1218,5,1495,0.8043
"4046970","6ad6270521f5f7","fa4a245816e524","81b0c4cf8ac035",0,2,77.2,1,0,0,40,1019,0,0,0,1358,"duo-fpp",49,48,-1,1,0.0087,0,13.73,0,0,3475,3,1502,0.9583
"4333839","33565ebf3444c8","a449b538503aa6","76b656ec8c7cbb",0,0,0,0,0,1,72,0,0,0,0,1772,"duo-fpp",49,44,1487,0,1501,0,0,0,0,211.4,4,0,0.2292
"3158540","4c48cb9e1a17db","4286b76a8b7c6e","789a8686716412",0,0,0,0,0,0,86,0,0,0,0,1382,"duo",47,45,1509,0,0,0,0,0,0,27.82,2,0,0.0435
"730950","b065c466bc9c9f","f8414deb956bc7","8ff1505c79d800",0,0,30.07,0,0,2,57,1452,0,0,0,1900,"squad-fpp",29,29,-1,0,3190,0,30.73,0,0,4981,6,1628,0.6071
"4016316","fa25b7e01a31a8","cca5b89e2b9444","dc4352912f20a7",1,1,141.8,0,0,6,55,1442,0,0,0,1352,"squad-fpp",29,28,-1,0,401.2,0,0,0,0,2176,6,1547,0.6071
"816665","7a41d7f012e14b","f04a4d3c471aef","35b1c131a04483",0,0,185.2,1,0,0,37,0,1,1,10.19,1843,"duo-fpp",49,45,1500,1,0,0,0,0,0,135.2,2,0,0.1667
"161051","adaffed3d74639","19e6204cb778e6","34fd562788e559",0,5,8.557,0,0,13,57,1280,0,0,0,1789,"squad-fpp",28,28,-1,1,5043,0,0,0,0,1533,2,1604,0.5185
"2040991","edd2101b52d8f2","08199815d76025","788e6975adb81a",0,1,100,1,0,3,33,1598,1,1,16.85,1389,"squad",29,29,-1,2,0,0,0,0,0,668.3,3,1497,0.3929
"2032993","7665bc0f961e21","079fc9033079a3","acaf4855f7e9ce",0,0,0,0,0,0,54,1285,0,0,0,1372,"duo-fpp",49,48,-1,0,0,0,0,0,0,1548,4,1605,0.625
"387014","bcb934f90cf3dd","7d315a5dca0024","05e5c471b18faf",0,0,54.05,0,0,0,54,1448,0,0,0,1246,"squad-fpp",29,27,-1,0,0,0,0,0,0,1434,5,1489,0.5714
"4416261","bfac27d15f778e","d6436f8c800c74","a7c0e121162759",0,1,172.8,1,1,0,30,0,1,1,5.863,1303,"squad-fpp",27,27,1429,0,1577,0,0,0,0,578.2,5,0,0.5
"3197362","a79f98d769018a","ded5b3a8f25c46","ff7f9b40e51d88",2,4,319,1,0,3,16,0,2,2,14.77,1942,"duo-fpp",46,44,1504,0,0,0,0,0,0,2912,5,0,0.7333
"4249985","f28a2eab51b00e","5db20c08081593","d324fd03f8e41c",0,0,0,0,0,0,68,1000,0,0,0,1296,"duo-fpp",49,45,-1,0,0,0,0,0,0,205.2,2,1500,0.3333
"1540138","7b9a844d6e9c1b","71edad97e834df","ebf2f923a5402b",1,3,78.23,0,0,2,14,0,2,1,296.5,1881,"duo",46,44,1487,0,10720,0,0,0,0,2447,4,0,0.8667
"1032862","bb0d9dd788d07d","3a8e2ee250c212","c3c8170a76df50",0,0,200,2,0,0,43,0,1,1,6.678,1368,"squad-fpp",27,25,1424,0,0,0,0,0,0,88.37,1,0,0.0385
"2409846","180b809bc31697","4cce9e576b5616","9c418dff030700",0,0,47,0,0,0,88,0,0,0,0,1811,"squad-fpp",30,28,1461,0,0,0,0,0,0,42.19,1,0,0.069
"1145323","f226d331306a50","28ec8dbc3c2a04","8c5e6610c9f415",0,4,100,0,0,3,27,0,1,1,8.739,1925,"solo-fpp",96,93,1488,0,0,0,0,0,0,2524,2,0,0.7263
"3622429","1d64b613c263bd","9f1cf1c4715aeb","422605d8b85776",0,0,97.92,0,0,1,47,0,0,0,0,1398,"solo-fpp",98,94,1505,0,0,0,25.55,0,0,3009,7,0,0.9278
"2516200","18845d4a448164","99ab6ecd5a7249","1dbe39638cbf9d",0,0,174.8,0,1,0,36,1109,1,1,1.32,1479,"solo",93,89,0,0,0,0,0,0,0,398.2,2,1500,0.4457
"911446","3183fdc5a9b372","30450e4d912fd1","9a2107e48169ae",0,2,10,0,0,0,39,0,1,1,0.5152,1320,"squad",28,28,1530,0,0,0,0,0,0,43.31,2,0,0.1111
"3693842","2376d9b55cb592","8f2671e5e0ea2b","d3a2b53eefb439",0,1,100,1,0,0,89,0,0,0,0,1344,"squad",30,29,1502,0,0,0,0,0,0,190.9,2,0,0.1034
"1299115","24d1c8eb9d7305","da8914c87e4562","daf8e969d25bad",2,1,176.9,1,0,0,37,0,1,1,4.923,1257,"squad-fpp",28,25,1405,0,0,0,0,0,0,174.6,2,0,0.1852
"3399463","3fd7d04cf6a130","8b4761fa0aebb4","839caf1e6cc1aa",2,2,429.7,2,1,3,12,0,3,1,91.61,1784,"duo-fpp",49,47,1725,0,1186,0,0,0,0,3725,7,0,0.8958
"1681009","d61a9d18dfb1f1","b6d1134200f6f7","ca64da97cb6253",0,0,100,1,0,0,92,1073,0,0,0,1368,"squad-fpp",27,27,-1,0,0,0,0,0,0,11.67,1,1404,0
"3167530","902dc7af1f18fb","b04bcc6b2b5fbf","cedfa687796524",0,0,0,0,0,0,62,0,0,0,0,1277,"squad-fpp",26,25,1480,0,0,0,0,0,0,0,0,0,0.36
"4345027","4baf83259b043f","98aa6cbe64bfb6","75ddb4cd579c9f",0,1,200,1,0,0,21,1201,2,2,29.07,1984,"duo-fpp",46,45,-1,0,0,0,0,0,0,957.6,5,1433,0.3111
"3948876","4398f5171d6c04","e84b5151b8b887","a8384d9118d0d3",2,5,206.8,2,0,1,15,0,2,1,306.1,1414,"duo-fpp",46,46,1631,0,0,0,20.41,0,0,2229,6,0,0.9778
"56641","6b1b3d3d05cfa0","5ad4fcd12bbecd","776531d6bda4be",0,0,104.5,2,0,0,39,0,1,1,12.98,1885,"squad-fpp",29,27,1480,0,0,0,0,0,0,319,3,0,0.0357
"2461455","193383bb328bbc","722418f663851e","7d3e5a3621abe4",0,4,52.8,0,0,1,48,0,0,0,0,1389,"solo-fpp",95,94,1528,0,0,0,0,0,0,1414,4,0,0.7979
"2265278","a903e2e9c3231f","e5ea82d3c086ef","79bd3a5f48561b",0,0,23.4,0,0,0,91,1274,0,0,0,1403,"solo-fpp",98,96,-1,0,0,0,0,0,0,27.75,1,1679,0.0825
"4276187","d2570b41a9d435","94ab728b05d117","fe061e3923d3d7",0,1,0,1,0,0,60,0,0,0,0,1967,"squad",29,29,1515,0,9431,0,0,1,0,224.1,3,0,0.4286
"4281861","aa16cf52c84c9e","91598bf6db688e","f23e3ab7b74f05",0,0,0,0,0,1,77,0,0,0,0,1922,"squad-fpp",28,27,1507,0,0,0,0,0,0,632.5,3,0,0.0741
"226841","70878be8f6c60c","cf88ebe7a93192","ef01dff61e7002",0,0,0,0,0,0,72,0,0,0,0,1462,"duo-fpp",50,46,1500,0,0,0,0,0,0,660.9,7,0,0.3061
"130987","d263cef5d3f7fc","e409565f709395","534b864b26b6c1",1,1,277.9,1,0,2,9,1000,3,2,39.43,1366,"squad-fpp",28,28,-1,0,0,0,0,0,0,2693,7,1500,0.7778
"689115","79cf90077888bd","1bd8c6d256bfd5","a490ebe2f23955",0,0,0,0,0,0,92,0,0,0,0,1291,"squad-fpp",27,26,1462,0,0,0,0,0,0,24.71,0,0,0.0385
"495622","d4b307fabe1062","53342ee392732a","14ca287ad91064",0,4,440.9,0,1,0,5,0,3,1,96.28,1440,"solo-fpp",95,95,1528,0,0,0,0,0,0,3284,6,0,0.9894
"560047","e26603e841ff73","bff120cd60aba2","fbbcad14336c01",0,0,23.22,0,0,0,87,1331,0,0,0,2104,"squad-fpp",29,29,-1,0,0,0,0,0,0,274.1,1,1452,0.0357
"3749645","55a7920c0c5576","cb518cf9dfc957","2ba7fd0628d80f",0,1,58.8,0,0,0,53,1108,0,0,0,1398,"duo",49,48,-1,0,739.2,0,0,0,0,944.7,2,1518,0.6667
"940579","a58ee26d016842","b84f1b341027ed","91dbe5ecad0037",0,3,200,1,0,1,17,1180,2,1,1.64,1891,"duo-fpp",46,46,-1,0,2683,0,0,0,0,2357,6,1542,0.7111
"946323","05ebc65a7dd5e8","40aefdc7798ce8","e0b7574356af06",1,2,82.31,0,0,2,56,1445,0,0,0,1260,"squad-fpp",28,27,0,0,932.9,0,0,0,1,1285,3,1535,0.5556
"288522","df025d66ea19c0","62d19018fe4985","a75bc860d672ff",0,0,31.5,0,0,0,87,1000,0,0,0,1369,"duo-fpp",48,45,-1,0,0,0,0,0,0,14.41,1,1500,0.0425
"1068142","7d595e70e48150","3c94e792aa0641","05f52142fcd7b2",1,2,810.2,3,3,11,3,1655,8,2,53.58,1832,"duo-fpp",49,47,-1,2,0,0,0,0,0,666,3,1500,0.4792
"4034474","5469a004ebd48f","fe7a35d22b7ab4","2451663305e9ca",0,0,43,0,0,0,73,0,0,0,0,1918,"squad-fpp",28,27,1376,0,0,0,0,0,0,458.7,1,0,0.2222
"3008425","5baf1ebec53e17","7cbc6f26127279","72fd23a75526c1",0,0,0,0,0,0,77,0,0,0,0,1375,"squad",27,26,1500,0,0,0,0,0,0,296.1,4,0,0.0769
"1035279","df50e970259ed9","66923230563ecf","91b3617e0d7c32",1,0,23.22,0,0,0,91,1036,0,0,0,1361,"squad-fpp",29,28,-1,0,0,0,0,0,0,132.5,1,1509,0.0357
"1499441","55aaa91c0394d8","388159875755e1","1a167b3becc97b",0,2,100,0,1,7,31,0,1,1,28.17,1920,"solo-fpp",96,95,1490,0,1138,0,0,0,0,1153,9,0,0.7053
"2032609","dd08e4442dcf20","1c36427c95d1ad","920a4b8e490be2",0,2,0,0,0,0,78,0,0,0,0,1330,"squad",28,27,1517,1,0,0,0,0,0,79.99,2,0,0.1111
